200,CPU,-1,-1,-1,0.0446882,0.358036,1
200,GPU,8,25,25,0.000253344,63.1552,1
200,GPU,16,13,13,8.192e-05,195.313,1
200,GPU,32,7,7,0.00010912,146.628,1
400,CPU,-1,-1,-1,0.392447,0.326159,1
400,GPU,8,50,50,0.000534688,239.392,1
400,GPU,16,25,25,0.000345504,370.473,1
400,GPU,32,13,13,0.000333792,383.472,1
800,CPU,-1,-1,-1,4.55185,0.224964,1
800,GPU,8,100,100,0.00699485,146.393,1
800,GPU,16,50,50,0.00438659,233.439,1
800,GPU,32,25,25,0.0031703,322.997,1
1200,CPU,-1,-1,-1,13.2588,0.260657,1
1200,GPU,8,150,150,0.0188216,183.619,1
1200,GPU,16,75,75,0.0124252,278.144,1
1200,GPU,32,38,38,0.0111462,310.061,1
1600,CPU,-1,-1,-1,50.9103,0.160911,1
1600,GPU,8,200,200,0.0557556,146.927,1
1600,GPU,16,100,100,0.036214,226.211,1
1600,GPU,32,50,50,0.0256963,318.801,1
2000,CPU,-1,-1,-1,102.342,0.156339,1
2000,GPU,8,250,250,0.0885161,180.758,1
2000,GPU,16,125,125,0.0508273,314.792,1
2000,GPU,32,63,63,0.0445133,359.443,1
